FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  370.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:16;;370;;23680;558;1.3;2131;428;1;7088;386;4.8;5999;403;0.9;350989;756;5.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  375.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:17;;375;;22877;556;0.9;2268;428;1.4;7277;387;3.6;6824;404;0.3;371529;771;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  380.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:18;;380;;22084;556;1.1;2794;429;0.9;7330;388;3.7;6217;405;0.5;366258;768;4.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  385.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:19;;385;;20599;553;0.8;1518;426;1.4;7422;387;4;5482;402;0.4;300772;725;3.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  390.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:19;;390;;20415;557;1.7;2201;430;0.6;7033;388;3.5;4930;402;0.6;300404;725;3.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  395.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:20;;395;;20933;551;1.2;2080;425;1;7249;384;2.7;5423;398;0.6;306767;727;2.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  400.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:21;;400;;24512;556;2.2;1607;425;0.5;7245;384;3.8;4955;398;0.4;334242;744;3.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  405.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:22;;405;;27579;558;0.8;2206;426;1.4;8337;385;6.8;5259;399;1;345539;751;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  410.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:23;;410;;31857;565;0.8;1969;428;0.9;7902;387;3.4;6060;400;0.4;379362;772;3.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  415.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 13:24;;415;;35755;567;0.9;2990;428;1.6;8938;385;6.5;6160;398;0.4;387712;775;3.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  420.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;03.01.17 13:25;;420;;41181;575;0.9;3479;431;1.1;8022;385;4.1;6800;401;0.4;450703;814;3.1
